iter	Passed	Remaining
0	0	82
1	1	73
2	2	65
3	2	57
4	2	55
5	3	52
6	3	51
7	4	50
8	4	49
9	5	48
10	5	47
11	6	46
12	6	46
13	7	45
14	7	44
15	8	44
16	8	43
17	9	42
18	9	42
19	10	41
20	10	41
21	11	40
22	12	40
23	12	39
24	13	39
25	13	38
26	14	38
27	14	37
28	15	37
29	15	36
30	16	36
31	16	35
32	17	35
33	18	35
34	18	34
35	19	33
36	19	33
37	20	32
38	20	32
39	21	31
40	21	31
41	21	30
42	22	29
43	22	28
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	27	24
52	27	24
53	28	24
54	29	23
55	29	23
56	30	22
57	31	22
58	31	22
59	32	21
60	32	20
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	36	16
69	37	15
70	37	15
71	38	14
72	38	14
73	39	13
74	39	13
75	40	12
76	40	12
77	41	11
78	41	11
79	42	10
80	42	10
81	43	9
82	43	8
83	44	8
84	44	7
85	45	7
86	45	6
87	46	6
88	46	5
89	47	5
90	48	4
91	48	4
92	49	3
93	49	3
94	50	2
95	50	2
96	51	1
97	51	1
98	52	0
99	52	0
